key,en,fr,de,nl
FRONT_END.CONTENT.QUESTION_IDENTITY.desc,"{{ fspName }} thanks you for accompanying them with the entry and the update of your personal details by answering the questions below.<br>In this context, we ask you to:<ul><li>verify the prefilled information and adapt the data if they are not up-to-date, and</li><li>provide us with the other requested data.</li></ul><br>The first step consists of verifying your identity details.<br/>When you click on ""next"", the data completed on this page is saved. If you are disconnected or wish to resume the remediation later, none of the information you have entered will be lost.","{{ fspName }} vous remercie de l'accompagner dans le renseignement et la mise à jour de vos données personnelles en répondant aux questions ci-dessous.<br/>A ce titre, nous vous prions de bien vouloir :<ul><li>vérifier les informations déjà présentes et procéder aux modifications éventuelles si ces données ne sont plus à jour, et</li><li>renseigner les autres données.</li></ul><br/>La première étape consiste à vérifier vos données d'identité.<br/>Lorsque vous cliquez sur ""suivant"", les données complétées sur cette page sont enregistrées. Si vous êtes déconnecté ou si vous souhaitez reprendre la remédiation plus tard, aucune des informations que vous avez renseignées ne sera perdues.","{{ fspName }} bedankt sich bei Ihnen für die Unterstützung bei der Eingabe und dem Update Ihrer persönlichen Daten durch die Beantwortung der unten stehenden Fragen.<br/>In diesem Zusammenhang bitten wir Sie:<ul><li>bestätigen Sie die vorausgefüllten Informationen und passen Sie die Daten an, sofern sie nicht aktuell sind und</li><li>übermitteln Sie die anderen angeforderten Daten.</li></ul><br/>Der erste Schritt ist die Bestätigung Ihrer Identitätsdetails.<br/>Wenn Sie auf ""weiter"" klicken, werden die auf dieser Seite festgelegten Daten gespeichert. Wenn Sie nicht verbunden sind oder die Verbesserung später fortsetzen möchten, gehen die Daten, die Sie bisher eingeführt haben, nicht verloren.","{{ fspName }} dankt jou voor het aanleveren en aanpassen van jouw persoonsgegevens met het beantwoorden van onderstaande vragen.<br>In die context, vragen we jou om:<ul><li>de bestaande informatie te controleren en te wijzigen indien deze niet meer actueel zijn, en</li><li>de overige gegevens aan te vullen.</li></ul><br>De eerste stap bestaat uit het verifiëren van jouw identiteitsgegevens. <br/>Wanneer u op ""volgende"" klikt, worden de ingevulde gegevens op deze pagina opgeslagen. Indien de verbinding wordt verbroken of indien je de remediëring later wilt hervatten, gaat geen van de door jouw ingevoerde informatie verloren."
FRONT_END.CONTENT.REGISTER,,,,
FRONT_END.CONTENT.SHARED.TERMS.termsOfUseLink,,,,
FRONT_END.CONTENT.SMS_REGISTRATION.REGISTER.description,"Please enter your mobile number, so your personal information can be completed","Veuillez entrer votre numéro de téléphone mobile, afin que vos informations personnelles puissent être complétées","Bitte geben Sie Ihre Handynummer ein, damit Ihre persönlichen Daten vervollständigt werden können.",Gelieve jouw mobiele nummer in te voeren om je persoonlijke informatie te vervolledigen.
FRONT_END.LABEL.confirmProfileAcceptTerms,"I understand and accept the <a href=""https://s3-luxembourg.obj.ebrc.com/harmoney-public/static/lamondiale/taxcompliance-en.pdf"" target=""_blank"">terms regarding tax compliance</a>","Je comprends et accepte les <a href=""https://s3-luxembourg.obj.ebrc.com/harmoney-public/static/lamondiale/taxcompliance-fr.pdf"" target=""_blank"">conditions de conformité fiscale</a>","Ich habe die <a href=""https://s3-luxembourg.obj.ebrc.com/harmoney-public/static/lamondiale/taxcompliance-en.pdf"" target=""_blank"">Geschäftsbedingungen</a> verstanden und akzeptiere diese.","Ik begrijp en aanvaard de <a href=""https://s3-luxembourg.obj.ebrc.com/harmoney-public/static/lamondiale/taxcompliance-en.pdf"" target=""_blank""algemene voorwaarden</a>"
FRONT_END.LABEL.dateOfBirth,Date of birth,Né(e) le ,Geburtsdatum,Geboortedatum
FRONT_END.LABEL.industrySector,Sector of activity ,Secteur d’activité ,Tätigkeitsbereich,Sector van activiteit
FRONT_END.LABEL.lastName,Birth name,Nom de naissance,Name,Naam
FRONT_END.LABEL.placeOfBirth,Place of birth,à,Geburtsort,Geboorteplaats
FRONT_END.LABEL.socialState,Social state,Poste occupé,Sozialer Status,Sociaal statuut
FRONT_END.TITLE.COMPONENT.SMS_REGISTRATION.REGISTER,"The update of your personal information is almost complete, {{name}}!",La mise à jour de vos informations personnelles est désormais bientôt terminée,"Die Aktualisierung Ihrer persönlichen Daten ist fast abgeschlossen, {{name}}!","De update van je persoonlijke informatie is bijna compleet, {{name}}!"
FRONT_END.VALUE.DOCUMENT_TYPE.PROOF_OF_RESIDENCE,Proof of residence,Justificatif de domicile,Wohnsitznachweis,Bewijs van woonplaats
FRONT_END.VALUE.DOCUMENT_TYPE.DESCRIPTIONS.LM_COPY_PORTFOLIO,"Please provide us with proof of the economic origin of the funds. As proof, we expect for example this type of document (duly signed document + indication of the amount):<ul><li>Copy of the securities portfolio statement</li></ul>","Comme justificatif, nous attendons par exemple ce type de document(document dûment signé+indication du montant): <ul><li>Copie du relevé de Portefeuille titres et historique montrant le désinvestissement des titres dans le cadre de la présente liquidation</li></ul>",Bitte legen Sie uns einen Nachweis über die wirtschaftliche Herkunft der Gelder vor. Als Nachweis erwarten wir z. B. diese Art von Dokument (ordnungsgemäß unterzeichnetes Dokument + Angabe des Betrags):<ul><li>Kopie des Wertpapierdepotauszugs</li></ul>,Gelieve ons een bewijs te bezorgen van de economische origine van de fondsen. Als bewijs verwachten wij dit type van document (Geldig getekend + indicatie van het bedrag):ul><li>Kopie van de uittreksels van de effectenrekening</li></ul>
